"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2023 10:15 - 01.01.2023 10:30","41355","40978"
"01.01.2023 10:30 - 01.01.2023 10:45","41897","41831"
"01.01.2023 10:45 - 01.01.2023 11:00","42136","42494"
"01.01.2023 11:00 - 01.01.2023 11:15","42936","43023"
"01.01.2023 11:15 - 01.01.2023 11:30","43660","44031"
"01.01.2023 11:30 - 01.01.2023 11:45","43894","44667"
"01.01.2023 11:45 - 01.01.2023 12:00","43851","44767"
"01.01.2023 12:00 - 01.01.2023 12:15","43910","44783"
"01.01.2023 12:15 - 01.01.2023 12:30","43907","44883"
"01.01.2023 12:30 - 01.01.2023 12:45","43757","44628"
"01.01.2023 12:45 - 01.01.2023 13:00","43390","44248"
"01.01.2023 13:00 - 01.01.2023 13:15","43215","44375"
"01.01.2023 13:15 - 01.01.2023 13:30","42970","44154"
"01.01.2023 13:30 - 01.01.2023 13:45","43097","43964"
"01.01.2023 13:45 - 01.01.2023 14:00","43073","43694"
"01.01.2023 14:00 - 01.01.2023 14:15","42781","43655"
"01.01.2023 14:15 - 01.01.2023 14:30","42682","43537"
"01.01.2023 14:30 - 01.01.2023 14:45","42757","43776"
"01.01.2023 14:45 - 01.01.2023 15:00","42900","43613"
"01.01.2023 15:00 - 01.01.2023 15:15","43419","44061"
"01.01.2023 15:15 - 01.01.2023 15:30","43324","43924"
"01.01.2023 15:30 - 01.01.2023 15:45","43720","44158"
"01.01.2023 15:45 - 01.01.2023 16:00","44017","44266"
"01.01.2023 16:00 - 01.01.2023 16:15","44426","45032"
"01.01.2023 16:15 - 01.01.2023 16:30","44846","45636"
"01.01.2023 16:30 - 01.01.2023 16:45","45706","46355"
"01.01.2023 16:45 - 01.01.2023 17:00","46861","47330"
"01.01.2023 17:00 - 01.01.2023 17:15","48106","48597"
"01.01.2023 17:15 - 01.01.2023 17:30","48632","49010"
"01.01.2023 17:30 - 01.01.2023 17:45","48516","49423"
"01.01.2023 17:45 - 01.01.2023 18:00","48825","49680"
"01.01.2023 18:00 - 01.01.2023 18:15","49146","49748"
"01.01.2023 18:15 - 01.01.2023 18:30","49473","49562"
"01.01.2023 18:30 - 01.01.2023 18:45","49482","49244"
"01.01.2023 18:45 - 01.01.2023 19:00","49345","48796"
"01.01.2023 19:00 - 01.01.2023 19:15","49318","48743"
"01.01.2023 19:15 - 01.01.2023 19:30","48850","48192"
"01.01.2023 19:30 - 01.01.2023 19:45","48459","47735"
"01.01.2023 19:45 - 01.01.2023 20:00","47886","47013"
"01.01.2023 20:00 - 01.01.2023 20:15","46902","46484"
"01.01.2023 20:15 - 01.01.2023 20:30","46365","45732"
"01.01.2023 20:30 - 01.01.2023 20:45","46051","44911"
"01.01.2023 20:45 - 01.01.2023 21:00","45519","44157"
"01.01.2023 21:00 - 01.01.2023 21:15","45279","44132"
"01.01.2023 21:15 - 01.01.2023 21:30","44727","43741"
"01.01.2023 21:30 - 01.01.2023 21:45","44860","43440"
"01.01.2023 21:45 - 01.01.2023 22:00","44662","43261"
"01.01.2023 22:00 - 01.01.2023 22:15","45241","43675"
"01.01.2023 22:15 - 01.01.2023 22:30","44918","43110"
"01.01.2023 22:30 - 01.01.2023 22:45","44280","42458"
"01.01.2023 22:45 - 01.01.2023 23:00","43840","41553"
"01.01.2023 23:00 - 01.01.2023 23:15","43235","40885"
"01.01.2023 23:15 - 01.01.2023 23:30","42587","39846"
"01.01.2023 23:30 - 01.01.2023 23:45","42066","38984"
"01.01.2023 23:45 - 02.01.2023 00:00","41276","38249"
"02.01.2023 00:00 - 02.01.2023 00:15","44952","37870"
"02.01.2023 00:15 - 02.01.2023 00:30","44665","37557"
"02.01.2023 00:30 - 02.01.2023 00:45","44222","36853"
"02.01.2023 00:45 - 02.01.2023 01:00","43875","36357"
"02.01.2023 01:00 - 02.01.2023 01:15","43310","36022"
"02.01.2023 01:15 - 02.01.2023 01:30","42932","35646"
"02.01.2023 01:30 - 02.01.2023 01:45","42483","35639"
"02.01.2023 01:45 - 02.01.2023 02:00","42320","35810"
"02.01.2023 02:00 - 02.01.2023 02:15","42207","35729"
"02.01.2023 02:15 - 02.01.2023 02:30","42200","35406"
"02.01.2023 02:30 - 02.01.2023 02:45","41940","35554"
"02.01.2023 02:45 - 02.01.2023 03:00","42068","35837"
"02.01.2023 03:00 - 02.01.2023 03:15","42206","36143"
"02.01.2023 03:15 - 02.01.2023 03:30","42303","36211"
"02.01.2023 03:30 - 02.01.2023 03:45","42461","36436"
"02.01.2023 03:45 - 02.01.2023 04:00","42764","36830"
"02.01.2023 04:00 - 02.01.2023 04:15","43449","37300"
"02.01.2023 04:15 - 02.01.2023 04:30","43768","37825"
"02.01.2023 04:30 - 02.01.2023 04:45","44254","38423"
"02.01.2023 04:45 - 02.01.2023 05:00","44782","39067"
"02.01.2023 05:00 - 02.01.2023 05:15","45594","39875"
"02.01.2023 05:15 - 02.01.2023 05:30","46116","40593"
"02.01.2023 05:30 - 02.01.2023 05:45","47399","41576"
"02.01.2023 05:45 - 02.01.2023 06:00","48890","43113"
"02.01.2023 06:00 - 02.01.2023 06:15","50554","45430"
"02.01.2023 06:15 - 02.01.2023 06:30","52126","46890"
"02.01.2023 06:30 - 02.01.2023 06:45","53516","48343"
"02.01.2023 06:45 - 02.01.2023 07:00","54929","49391"
"02.01.2023 07:00 - 02.01.2023 07:15","56296","50898"
"02.01.2023 07:15 - 02.01.2023 07:30","57260","52147"
"02.01.2023 07:30 - 02.01.2023 07:45","58169","53549"
"02.01.2023 07:45 - 02.01.2023 08:00","58917","54672"
"02.01.2023 08:00 - 02.01.2023 08:15","59731","56085"
"02.01.2023 08:15 - 02.01.2023 08:30","60368","56568"
"02.01.2023 08:30 - 02.01.2023 08:45","60699","57151"
"02.01.2023 08:45 - 02.01.2023 09:00","61038","57271"
"02.01.2023 09:00 - 02.01.2023 09:15","61595","57725"
"02.01.2023 09:15 - 02.01.2023 09:30","62049","57561"
"02.01.2023 09:30 - 02.01.2023 09:45","62558","58075"
"02.01.2023 09:45 - 02.01.2023 10:00","62840","58645"
"02.01.2023 10:00 - 02.01.2023 10:15","63133","59144"
"02.01.2023 10:15 - 02.01.2023 10:30","63425","59587"
"02.01.2023 10:30 - 02.01.2023 10:45","63643","60076"
"02.01.2023 10:45 - 02.01.2023 11:00","63702","60452"
"02.01.2023 11:00 - 02.01.2023 11:15","64283","60384"
"02.01.2023 11:15 - 02.01.2023 11:30","64492","61145"
"02.01.2023 11:30 - 02.01.2023 11:45","64762","61449"
"02.01.2023 11:45 - 02.01.2023 12:00","64722","62034"
"02.01.2023 12:00 - 02.01.2023 12:15","64807","62338"
"02.01.2023 12:15 - 02.01.2023 12:30","64757","62126"
"02.01.2023 12:30 - 02.01.2023 12:45","64833","62280"
"02.01.2023 12:45 - 02.01.2023 13:00","64726","61955"
"02.01.2023 13:00 - 02.01.2023 13:15","64748","61545"
"02.01.2023 13:15 - 02.01.2023 13:30","64600","61127"
"02.01.2023 13:30 - 02.01.2023 13:45","64249","60999"
"02.01.2023 13:45 - 02.01.2023 14:00","64046","60483"
"02.01.2023 14:00 - 02.01.2023 14:15","63832","59914"
"02.01.2023 14:15 - 02.01.2023 14:30","63444","59688"
"02.01.2023 14:30 - 02.01.2023 14:45","63258","59807"
"02.01.2023 14:45 - 02.01.2023 15:00","62993","59644"
"02.01.2023 15:00 - 02.01.2023 15:15","63122","60058"
"02.01.2023 15:15 - 02.01.2023 15:30","63054","59590"
"02.01.2023 15:30 - 02.01.2023 15:45","62841","59300"
"02.01.2023 15:45 - 02.01.2023 16:00","62760","59362"
"02.01.2023 16:00 - 02.01.2023 16:15","62673","59740"
"02.01.2023 16:15 - 02.01.2023 16:30","62796","60234"
"02.01.2023 16:30 - 02.01.2023 16:45","63239","60559"
"02.01.2023 16:45 - 02.01.2023 17:00","63635","61262"
"02.01.2023 17:00 - 02.01.2023 17:15","64134","61829"
"02.01.2023 17:15 - 02.01.2023 17:30","64527","61727"
"02.01.2023 17:30 - 02.01.2023 17:45","64870","61621"
"02.01.2023 17:45 - 02.01.2023 18:00","64993","61573"
"02.01.2023 18:00 - 02.01.2023 18:15","64935","61675"
"02.01.2023 18:15 - 02.01.2023 18:30","64787","61342"
"02.01.2023 18:30 - 02.01.2023 18:45","64605","61019"
"02.01.2023 18:45 - 02.01.2023 19:00","64363","60965"
"02.01.2023 19:00 - 02.01.2023 19:15","63784","60746"
"02.01.2023 19:15 - 02.01.2023 19:30","63469","60593"
"02.01.2023 19:30 - 02.01.2023 19:45","62946","59971"
"02.01.2023 19:45 - 02.01.2023 20:00","62306","59366"
"02.01.2023 20:00 - 02.01.2023 20:15","61422","58248"
"02.01.2023 20:15 - 02.01.2023 20:30","60640","56964"
"02.01.2023 20:30 - 02.01.2023 20:45","59871","55874"
"02.01.2023 20:45 - 02.01.2023 21:00","59249","55092"
"02.01.2023 21:00 - 02.01.2023 21:15","58624","54741"
"02.01.2023 21:15 - 02.01.2023 21:30","57792","54038"
"02.01.2023 21:30 - 02.01.2023 21:45","57109","53317"
"02.01.2023 21:45 - 02.01.2023 22:00","56410","52539"
"02.01.2023 22:00 - 02.01.2023 22:15","56292","51872"
"02.01.2023 22:15 - 02.01.2023 22:30","55611","51182"
"02.01.2023 22:30 - 02.01.2023 22:45","54704","50293"
"02.01.2023 22:45 - 02.01.2023 23:00","53731","49375"
"02.01.2023 23:00 - 02.01.2023 23:15","53013","48584"
"02.01.2023 23:15 - 02.01.2023 23:30","52321","47973"
"02.01.2023 23:30 - 02.01.2023 23:45","51738","47196"
"02.01.2023 23:45 - 03.01.2023 00:00","51114","46507"
"03.01.2023 00:00 - 03.01.2023 00:15","47305","45650"
"03.01.2023 00:15 - 03.01.2023 00:30","46987","44880"
"03.01.2023 00:30 - 03.01.2023 00:45","46485","44328"
"03.01.2023 00:45 - 03.01.2023 01:00","46019","43807"
"03.01.2023 01:00 - 03.01.2023 01:15","45628","43259"
"03.01.2023 01:15 - 03.01.2023 01:30","45377","42753"
"03.01.2023 01:30 - 03.01.2023 01:45","45011","42617"
"03.01.2023 01:45 - 03.01.2023 02:00","44743","42531"
"03.01.2023 02:00 - 03.01.2023 02:15","44373","42268"
"03.01.2023 02:15 - 03.01.2023 02:30","44408","42071"
"03.01.2023 02:30 - 03.01.2023 02:45","44281","42299"
"03.01.2023 02:45 - 03.01.2023 03:00","44303","42215"
"03.01.2023 03:00 - 03.01.2023 03:15","44237","42177"
"03.01.2023 03:15 - 03.01.2023 03:30","44267","42030"
"03.01.2023 03:30 - 03.01.2023 03:45","44468","42278"
"03.01.2023 03:45 - 03.01.2023 04:00","44553","42502"
"03.01.2023 04:00 - 03.01.2023 04:15","45308","43132"
"03.01.2023 04:15 - 03.01.2023 04:30","45950","43599"
"03.01.2023 04:30 - 03.01.2023 04:45","46289","44255"
"03.01.2023 04:45 - 03.01.2023 05:00","46843","44511"
"03.01.2023 05:00 - 03.01.2023 05:15","47846","45297"
"03.01.2023 05:15 - 03.01.2023 05:30","48343","45828"
"03.01.2023 05:30 - 03.01.2023 05:45","49189","46420"
"03.01.2023 05:45 - 03.01.2023 06:00","50280","47645"
"03.01.2023 06:00 - 03.01.2023 06:15","52194","49580"
"03.01.2023 06:15 - 03.01.2023 06:30","53784","50710"
"03.01.2023 06:30 - 03.01.2023 06:45","55114","51916"
"03.01.2023 06:45 - 03.01.2023 07:00","56521","53141"
"03.01.2023 07:00 - 03.01.2023 07:15","57765","54670"
"03.01.2023 07:15 - 03.01.2023 07:30","60010","56114"
"03.01.2023 07:30 - 03.01.2023 07:45","60930","57066"
"03.01.2023 07:45 - 03.01.2023 08:00","61672","57883"
"03.01.2023 08:00 - 03.01.2023 08:15","62541","58479"
"03.01.2023 08:15 - 03.01.2023 08:30","63248","58812"
"03.01.2023 08:30 - 03.01.2023 08:45","63625","59191"
"03.01.2023 08:45 - 03.01.2023 09:00","64000","59310"
"03.01.2023 09:00 - 03.01.2023 09:15","64538","59419"
"03.01.2023 09:15 - 03.01.2023 09:30","64777","60056"
"03.01.2023 09:30 - 03.01.2023 09:45","65106","60219"
"03.01.2023 09:45 - 03.01.2023 10:00","65262","60157"
"03.01.2023 10:00 - 03.01.2023 10:15","65458","60337"
"03.01.2023 10:15 - 03.01.2023 10:30","65762","60599"
"03.01.2023 10:30 - 03.01.2023 10:45","66006","60764"
"03.01.2023 10:45 - 03.01.2023 11:00","66164","60993"
"03.01.2023 11:00 - 03.01.2023 11:15","66611","61070"
"03.01.2023 11:15 - 03.01.2023 11:30","66911","61502"
"03.01.2023 11:30 - 03.01.2023 11:45","67214","61857"
"03.01.2023 11:45 - 03.01.2023 12:00","67275","61951"
"03.01.2023 12:00 - 03.01.2023 12:15","67277","61585"
"03.01.2023 12:15 - 03.01.2023 12:30","67140","61406"
"03.01.2023 12:30 - 03.01.2023 12:45","67137","61314"
"03.01.2023 12:45 - 03.01.2023 13:00","66919","60981"
"03.01.2023 13:00 - 03.01.2023 13:15","66927","60416"
"03.01.2023 13:15 - 03.01.2023 13:30","66625","59900"
"03.01.2023 13:30 - 03.01.2023 13:45","66260","59545"
"03.01.2023 13:45 - 03.01.2023 14:00","65895","59450"
"03.01.2023 14:00 - 03.01.2023 14:15","65858","59228"
"03.01.2023 14:15 - 03.01.2023 14:30","65435","59054"
"03.01.2023 14:30 - 03.01.2023 14:45","65080","58866"
"03.01.2023 14:45 - 03.01.2023 15:00","64668","58858"
"03.01.2023 15:00 - 03.01.2023 15:15","64752","58942"
"03.01.2023 15:15 - 03.01.2023 15:30","64642","58591"
"03.01.2023 15:30 - 03.01.2023 15:45","64442","58626"
"03.01.2023 15:45 - 03.01.2023 16:00","64367","58433"
"03.01.2023 16:00 - 03.01.2023 16:15","64409","59122"
"03.01.2023 16:15 - 03.01.2023 16:30","64499","59505"
"03.01.2023 16:30 - 03.01.2023 16:45","64876","60188"
"03.01.2023 16:45 - 03.01.2023 17:00","65146","60824"
"03.01.2023 17:00 - 03.01.2023 17:15","65460","61869"
"03.01.2023 17:15 - 03.01.2023 17:30","65719","62395"
"03.01.2023 17:30 - 03.01.2023 17:45","66010","62968"
"03.01.2023 17:45 - 03.01.2023 18:00","66041","62912"
"03.01.2023 18:00 - 03.01.2023 18:15","65904","62301"
"03.01.2023 18:15 - 03.01.2023 18:30","65732","62183"
"03.01.2023 18:30 - 03.01.2023 18:45","65573","62292"
"03.01.2023 18:45 - 03.01.2023 19:00","65433","61924"
"03.01.2023 19:00 - 03.01.2023 19:15","64893","61458"
"03.01.2023 19:15 - 03.01.2023 19:30","64589","60614"
"03.01.2023 19:30 - 03.01.2023 19:45","64134","60024"
"03.01.2023 19:45 - 03.01.2023 20:00","63501","59297"
"03.01.2023 20:00 - 03.01.2023 20:15","62607","58491"
"03.01.2023 20:15 - 03.01.2023 20:30","61814","57533"
"03.01.2023 20:30 - 03.01.2023 20:45","61094","56752"
"03.01.2023 20:45 - 03.01.2023 21:00","60581","55912"
"03.01.2023 21:00 - 03.01.2023 21:15","59892","55103"
"03.01.2023 21:15 - 03.01.2023 21:30","59038","54417"
"03.01.2023 21:30 - 03.01.2023 21:45","58345","53928"
"03.01.2023 21:45 - 03.01.2023 22:00","57492","53338"
"03.01.2023 22:00 - 03.01.2023 22:15","57234","53210"
"03.01.2023 22:15 - 03.01.2023 22:30","56584","52534"
"03.01.2023 22:30 - 03.01.2023 22:45","55704","51528"
"03.01.2023 22:45 - 03.01.2023 23:00","54814","50668"
"03.01.2023 23:00 - 03.01.2023 23:15","54007","49932"
"03.01.2023 23:15 - 03.01.2023 23:30","53258","48933"
"03.01.2023 23:30 - 03.01.2023 23:45","52689","48622"
"03.01.2023 23:45 - 04.01.2023 00:00","52065","47853"
"04.01.2023 00:00 - 04.01.2023 00:15","49395","47407"
"04.01.2023 00:15 - 04.01.2023 00:30","48949","47065"
"04.01.2023 00:30 - 04.01.2023 00:45","48401","46085"
"04.01.2023 00:45 - 04.01.2023 01:00","47945","45938"
"04.01.2023 01:00 - 04.01.2023 01:15","47663","45410"
"04.01.2023 01:15 - 04.01.2023 01:30","47350","45144"
"04.01.2023 01:30 - 04.01.2023 01:45","47144","45131"
"04.01.2023 01:45 - 04.01.2023 02:00","46884","45031"
"04.01.2023 02:00 - 04.01.2023 02:15","46657","44683"
"04.01.2023 02:15 - 04.01.2023 02:30","46638","44630"
"04.01.2023 02:30 - 04.01.2023 02:45","46576","44728"
"04.01.2023 02:45 - 04.01.2023 03:00","46667","44700"
"04.01.2023 03:00 - 04.01.2023 03:15","46739","44946"
"04.01.2023 03:15 - 04.01.2023 03:30","46896","45390"
"04.01.2023 03:30 - 04.01.2023 03:45","47022","45788"
"04.01.2023 03:45 - 04.01.2023 04:00","47186","46152"
"04.01.2023 04:00 - 04.01.2023 04:15","47740","46792"
"04.01.2023 04:15 - 04.01.2023 04:30","48078","47120"
"04.01.2023 04:30 - 04.01.2023 04:45","48571","47493"
"04.01.2023 04:45 - 04.01.2023 05:00","49043","48010"
"04.01.2023 05:00 - 04.01.2023 05:15","49894","49194"
"04.01.2023 05:15 - 04.01.2023 05:30","50397","49444"
"04.01.2023 05:30 - 04.01.2023 05:45","51124","50398"
"04.01.2023 05:45 - 04.01.2023 06:00","52117","51865"
"04.01.2023 06:00 - 04.01.2023 06:15","53914","54486"
"04.01.2023 06:15 - 04.01.2023 06:30","55285","55737"
"04.01.2023 06:30 - 04.01.2023 06:45","56523","56727"
"04.01.2023 06:45 - 04.01.2023 07:00","57737","57903"
"04.01.2023 07:00 - 04.01.2023 07:15","59482","59071"
"04.01.2023 07:15 - 04.01.2023 07:30","60998","60298"
"04.01.2023 07:30 - 04.01.2023 07:45","61723","61121"
"04.01.2023 07:45 - 04.01.2023 08:00","62764","62124"
"04.01.2023 08:00 - 04.01.2023 08:15","63516","63205"
"04.01.2023 08:15 - 04.01.2023 08:30","64016","63747"
"04.01.2023 08:30 - 04.01.2023 08:45","64412","64090"
"04.01.2023 08:45 - 04.01.2023 09:00","64595","63989"
"04.01.2023 09:00 - 04.01.2023 09:15","65001","64030"
"04.01.2023 09:15 - 04.01.2023 09:30","65340","64542"
"04.01.2023 09:30 - 04.01.2023 09:45","65910","65146"
"04.01.2023 09:45 - 04.01.2023 10:00","66167","65510"
"04.01.2023 10:00 - 04.01.2023 10:15","66608","65715"
"04.01.2023 10:15 - 04.01.2023 10:30","66676","66008"
"04.01.2023 10:30 - 04.01.2023 10:45","66873","66414"
"04.01.2023 10:45 - 04.01.2023 11:00","67068","66670"
"04.01.2023 11:00 - 04.01.2023 11:15","67397","67114"
"04.01.2023 11:15 - 04.01.2023 11:30","67814","67362"
"04.01.2023 11:30 - 04.01.2023 11:45","68295","67728"
"04.01.2023 11:45 - 04.01.2023 12:00","68381","68000"
"04.01.2023 12:00 - 04.01.2023 12:15","68452","67985"
"04.01.2023 12:15 - 04.01.2023 12:30","68436","67900"
"04.01.2023 12:30 - 04.01.2023 12:45","68394","67804"
"04.01.2023 12:45 - 04.01.2023 13:00","68331","67337"
"04.01.2023 13:00 - 04.01.2023 13:15","68096","67101"
"04.01.2023 13:15 - 04.01.2023 13:30","67673","67074"
"04.01.2023 13:30 - 04.01.2023 13:45","67276","66514"
"04.01.2023 13:45 - 04.01.2023 14:00","66760","65627"
"04.01.2023 14:00 - 04.01.2023 14:15","66387","65475"
"04.01.2023 14:15 - 04.01.2023 14:30","66080","65590"
"04.01.2023 14:30 - 04.01.2023 14:45","65774","65761"
"04.01.2023 14:45 - 04.01.2023 15:00","65665","65718"
"04.01.2023 15:00 - 04.01.2023 15:15","65554","65237"
"04.01.2023 15:15 - 04.01.2023 15:30","65285","65109"
"04.01.2023 15:30 - 04.01.2023 15:45","65140","64975"
"04.01.2023 15:45 - 04.01.2023 16:00","65106","64814"
"04.01.2023 16:00 - 04.01.2023 16:15","65241","64658"
"04.01.2023 16:15 - 04.01.2023 16:30","65019","64909"
"04.01.2023 16:30 - 04.01.2023 16:45","65268","65443"
"04.01.2023 16:45 - 04.01.2023 17:00","65882","65943"
"04.01.2023 17:00 - 04.01.2023 17:15","66672","66675"
"04.01.2023 17:15 - 04.01.2023 17:30","67045","67262"
"04.01.2023 17:30 - 04.01.2023 17:45","67216","67446"
"04.01.2023 17:45 - 04.01.2023 18:00","67184","67612"
"04.01.2023 18:00 - 04.01.2023 18:15","66851","67409"
"04.01.2023 18:15 - 04.01.2023 18:30","66858","67044"
"04.01.2023 18:30 - 04.01.2023 18:45","66707","66731"
"04.01.2023 18:45 - 04.01.2023 19:00","66651","65980"
"04.01.2023 19:00 - 04.01.2023 19:15","66270","65773"
"04.01.2023 19:15 - 04.01.2023 19:30","65578","64880"
"04.01.2023 19:30 - 04.01.2023 19:45","65002","64259"
"04.01.2023 19:45 - 04.01.2023 20:00","64247","63599"
"04.01.2023 20:00 - 04.01.2023 20:15","63129","62613"
"04.01.2023 20:15 - 04.01.2023 20:30","62210","61469"
"04.01.2023 20:30 - 04.01.2023 20:45","61320","60332"
"04.01.2023 20:45 - 04.01.2023 21:00","60507","59354"
"04.01.2023 21:00 - 04.01.2023 21:15","59939","58898"
"04.01.2023 21:15 - 04.01.2023 21:30","59207","58163"
"04.01.2023 21:30 - 04.01.2023 21:45","58322","57334"
"04.01.2023 21:45 - 04.01.2023 22:00","57466","56733"
"04.01.2023 22:00 - 04.01.2023 22:15","57310","56037"
"04.01.2023 22:15 - 04.01.2023 22:30","56777","55536"
"04.01.2023 22:30 - 04.01.2023 22:45","55871","54880"
"04.01.2023 22:45 - 04.01.2023 23:00","54961","53974"
"04.01.2023 23:00 - 04.01.2023 23:15","53925","53033"
"04.01.2023 23:15 - 04.01.2023 23:30","53106","52403"
"04.01.2023 23:30 - 04.01.2023 23:45","52115","51805"
"04.01.2023 23:45 - 05.01.2023 00:00","51439","50468"
"05.01.2023 00:00 - 05.01.2023 00:15","51566","48146"
"05.01.2023 00:15 - 05.01.2023 00:30","50975","47420"
"05.01.2023 00:30 - 05.01.2023 00:45","50418","46820"
"05.01.2023 00:45 - 05.01.2023 01:00","50096","46153"
"05.01.2023 01:00 - 05.01.2023 01:15","49568","45534"
"05.01.2023 01:15 - 05.01.2023 01:30","49297","45241"
"05.01.2023 01:30 - 05.01.2023 01:45","48885","44759"
"05.01.2023 01:45 - 05.01.2023 02:00","48689","44652"
"05.01.2023 02:00 - 05.01.2023 02:15","48512","44952"
"05.01.2023 02:15 - 05.01.2023 02:30","48606","44891"
"05.01.2023 02:30 - 05.01.2023 02:45","48342","45227"
"05.01.2023 02:45 - 05.01.2023 03:00","48349","45277"
"05.01.2023 03:00 - 05.01.2023 03:15","48227","45418"
"05.01.2023 03:15 - 05.01.2023 03:30","48476","45363"
"05.01.2023 03:30 - 05.01.2023 03:45","48828","45442"
"05.01.2023 03:45 - 05.01.2023 04:00","49119","45646"
"05.01.2023 04:00 - 05.01.2023 04:15","49626","46125"
"05.01.2023 04:15 - 05.01.2023 04:30","50123","46311"
"05.01.2023 04:30 - 05.01.2023 04:45","50630","46707"
"05.01.2023 04:45 - 05.01.2023 05:00","51181","47274"
"05.01.2023 05:00 - 05.01.2023 05:15","52192","47818"
"05.01.2023 05:15 - 05.01.2023 05:30","52842","48225"
"05.01.2023 05:30 - 05.01.2023 05:45","53816","48838"
"05.01.2023 05:45 - 05.01.2023 06:00","55132","50044"
"05.01.2023 06:00 - 05.01.2023 06:15","57280","51786"
"05.01.2023 06:15 - 05.01.2023 06:30","58890","52971"
"05.01.2023 06:30 - 05.01.2023 06:45","59901","54203"
"05.01.2023 06:45 - 05.01.2023 07:00","61150","55539"
"05.01.2023 07:00 - 05.01.2023 07:15","62582","58211"
"05.01.2023 07:15 - 05.01.2023 07:30","61793","59210"
"05.01.2023 07:30 - 05.01.2023 07:45","62429","60201"
"05.01.2023 07:45 - 05.01.2023 08:00","63207","61052"
"05.01.2023 08:00 - 05.01.2023 08:15","64120","62124"
"05.01.2023 08:15 - 05.01.2023 08:30","64642","61871"
"05.01.2023 08:30 - 05.01.2023 08:45","65178","61904"
"05.01.2023 08:45 - 05.01.2023 09:00","65444","62230"
"05.01.2023 09:00 - 05.01.2023 09:15","65753","62598"
"05.01.2023 09:15 - 05.01.2023 09:30","66288","62791"
"05.01.2023 09:30 - 05.01.2023 09:45","66621","62714"
"05.01.2023 09:45 - 05.01.2023 10:00","66934","62850"
"05.01.2023 10:00 - 05.01.2023 10:15","67130","62992"
"05.01.2023 10:15 - 05.01.2023 10:30","67313","63189"
"05.01.2023 10:30 - 05.01.2023 10:45","67560","63037"
"05.01.2023 10:45 - 05.01.2023 11:00","67716","63428"
"05.01.2023 11:00 - 05.01.2023 11:15","67796","63958"
"05.01.2023 11:15 - 05.01.2023 11:30","68276","64441"
"05.01.2023 11:30 - 05.01.2023 11:45","68678","64992"
"05.01.2023 11:45 - 05.01.2023 12:00","68707","65012"
"05.01.2023 12:00 - 05.01.2023 12:15","68565","65042"
